Date,Open,High,Low,Close,Adj Close,Volume,Change,gain,Loss,Avg Gain,Avg Loss,RS,RSI
6/17/2020,441.820007,450.459991,439.220001,447.769989,447.769989,6529600,0,0,0,0,0,0,0
6/18/2020,448.730011,452.76001,442.799988,449.869995,449.869995,4277600,2.100006,2.100006,0,0,0,0,0
6/19/2020,449.119995,453.970001,445.600006,453.720001,453.720001,5934500,3.850006,3.850006,0,0,0,0,0
6/22/2020,455.01001,468.589996,454.209991,468.040009,468.040009,6272100,14.320008,14.320008,0,0,0,0,0
6/23/2020,466.5,474.01001,464.5,466.26001,466.26001,5948400,-1.779999,0,1.779999,0,0,0,0
6/24/2020,468.540009,472.359985,454,457.850006,457.850006,4826200,-8.410004,0,8.410004,0,0,0,0
6/25/2020,458.859985,467.01001,454,465.910004,465.910004,4134500,8.059998,8.059998,0,0,0,0,0
6/26/2020,466.390015,468.029999,442.23999,443.399994,443.399994,6804700,-22.51001,0,22.51001,0,0,0,0
6/29/2020,445.230011,447.670013,432.140015,447.23999,447.23999,4844000,3.839996,3.839996,0,0,0,0,0
6/30/2020,450.019989,457.589996,447,455.040009,455.040009,4198500,7.800019,7.800019,0,0,0,0,0
7/1/2020,454,488.230011,454,485.640015,485.640015,9705900,30.600006,30.600006,0,0,0,0,0
7/2/2020,485.640015,492.279999,475.529999,476.890015,476.890015,6351500,-8.75,0,8.75,0,0,0,0
7/6/2020,480.769989,499.5,479.799988,493.809998,493.809998,7839000,16.919983,16.919983,0,0,0,0,0
7/7/2020,497.309998,504.820007,490.829987,493.160004,493.160004,5669900,-0.649994,0,0.649994,0,0,0,0
7/8/2020,498.579987,505.100006,493.809998,502.779999,502.779999,5691700,9.619995,9.619995,0,6.936429786,3.007143357,2.306650852,69.75791988
7/9/2020,508.399994,510,495.779999,507.76001,507.76001,5840500,4.980011,4.980011,0,7.142144429,3.007143357,2.37505951,70.37089281
7/10/2020,519.72998,555.880005,511.279999,548.72998,548.72998,21605600,40.96997,40.96997,0,9.793570429,3.007143357,3.256768722,76.50800254
7/13/2020,567.97998,575.369995,520.960022,525.5,525.5,18399000,-23.22998,0,23.22998,8.770712714,4.666427643,1.879534707,65.27216715
7/14/2020,517.080017,525.5,490.48999,524.880005,524.880005,15083300,-0.619995,0,0.619995,8.770712714,4.583570214,1.913511151,65.67715213
7/15/2020,516.299988,529,510.179993,523.26001,523.26001,10066700,-1.619995,0,1.619995,8.770712714,4.098569571,2.139944818,68.15230655
7/16/2020,526.47998,535.539978,504.359985,527.390015,527.390015,24499000,4.130005,4.130005,0,8.489998929,4.098569571,2.071454146,67.44213156
7/17/2020,494.869995,503.589996,484.140015,492.98999,492.98999,24991400,-34.400025,0,34.400025,8.489998929,4.947856357,1.715894383,63.17971691
7/20/2020,489.140015,504.5,484.200012,502.410004,502.410004,11940300,9.420014,9.420014,0,8.888571643,4.947856357,1.796449008,64.2403635
7/21/2020,506,506.220001,488.609985,490.100006,490.100006,9113700,-12.309998,0,12.309998,8.331427429,5.827141929,1.429762228,58.84370955
7/22/2020,492.190002,497.200012,487.200012,489.820007,489.820007,6954100,-0.279999,0,0.279999,6.145712714,5.847141857,1.051062701,51.24478645
7/23/2020,491.130005,491.899994,472.019989,477.579987,477.579987,7722000,-12.24002,0,12.24002,6.145712714,6.096429,1.00808403,50.20128714
7/24/2020,468.769989,487.170013,467.540009,480.450012,480.450012,7746200,2.870025,2.870025,0,5.142144286,6.096429,0.843468248,45.75442234
7/27/2020,484.51001,496.920013,482.309998,495.649994,495.649994,7863100,15.199982,15.199982,0,6.227857286,6.050000857,1.029397753,50.72429746
7/28/2020,496.019989,497.790009,487.76001,488.51001,488.51001,5986700,-7.139984,0,7.139984,5.540714786,6.559999714,0.844621193,45.78832751
7/29/2020,492.25,494.920013,484.130005,484.480011,484.480011,6611800,-4.029999,0,4.029999,5.184999714,6.847856786,0.757171167,43.09034778
7/30/2020,480.709991,488.350006,477.51001,485.799988,485.799988,6608600,1.319977,1.319977,0,2.352857357,6.847856786,0.343590328,25.57255144
7/31/2020,488.290009,494.799988,484.5,488.880005,488.880005,5916300,3.080017,3.080017,0,2.572858571,5.1885725,0.495870217,33.14928069
8/3/2020,490.859985,503.089996,490.230011,498.619995,498.619995,5873100,9.73999,9.73999,0,3.268572143,5.144287143,0.635379024,38.85209572
8/4/2020,498.649994,510.440002,498.649994,509.640015,509.640015,5608000,11.02002,11.02002,0,4.055716429,5.028573214,0.806534231,44.64538878
8/5/2020,508.679993,510.100006,501.200012,502.109985,502.109985,4308200,-7.53003,0,7.53003,3.760716071,5.5664325,0.675606157,40.32010472
8/6/2020,504.109985,510.820007,498.700012,509.079987,509.079987,3725900,6.970002,6.970002,0,4.258573357,3.109287857,1.369629816,57.79931561
8/7/2020,505.450012,508.290009,486.679993,494.730011,494.730011,5910300,-14.349976,0,14.349976,3.585715214,4.134286143,0.867311814,46.4470801
8/10/2020,493.350006,497.459991,478.630005,483.380005,483.380005,4691200,-11.350006,0,11.350006,3.585715214,4.065715286,0.881939576,46.86333116
8/11/2020,479.75,480.920013,466.549988,466.929993,466.929993,7329200,-16.450012,0,16.450012,3.585715214,5.220716214,0.686824387,40.71700601
8/12/2020,471.339996,482.48999,470.179993,475.470001,475.470001,5439200,8.540008,8.540008,0,4.195715786,4.346429071,0.965324803,49.11782528
8/13/2020,478.399994,484.450012,476.450012,481.329987,481.329987,3008900,5.859986,5.859986,0,4.409284429,4.346429071,1.014461379,50.3589391
8/14/2020,482.820007,488.329987,480.209991,482.679993,482.679993,2943500,1.350006,1.350006,0,3.420000429,4.346429071,0.786852925,44.03568498
8/17/2020,484.190002,486.23999,479.100006,482.350006,482.350006,2423500,-0.329987,0,0.329987,3.420000429,3.860000714,0.88601031,46.9780205
8/18/2020,484.350006,495.299988,482.799988,491.869995,491.869995,3505500,9.519989,9.519989,0,4.099999643,3.572143643,1.147770093,53.44008174
8/19/2020,493.929993,494.5,483.5,484.529999,484.529999,3156200,-7.339996,0,7.339996,4.005715571,4.096429071,0.977855469,49.44018835
8/20/2020,484.690002,498.940002,483.890015,497.899994,497.899994,5132500,13.369995,13.369995,0,4.740714,4.096429071,1.15727965,53.64532363
8/21/2020,496.459991,498.130005,490,492.309998,492.309998,3921300,-5.589996,0,5.589996,4.045000429,4.4957145,0.899745842,47.36137973
8/24/2020,495.440002,501,483.160004,488.809998,488.809998,4762200,-3.5,0,3.5,3.257856143,4.7457145,0.686483804,40.70503389
8/25/2020,488.190002,492.470001,485.089996,490.579987,490.579987,5727700,1.769989,1.769989,0,3.384283929,4.207855214,0.804277656,44.57615786
8/26/2020,492.5,549.039978,492.079987,547.530029,547.530029,20373700,56.950042,56.950042,0,6.954286786,4.207855214,1.652691557,62.30243968
8/27/2020,537.780029,541,521.25,526.27002,526.27002,9062900,-21.260009,0,21.260009,6.954286786,4.701429,1.479185751,59.66417605
8/28/2020,532,539,522,523.890015,523.890015,4417500,-2.380005,0,2.380005,6.954286786,4.060714643,1.71257707,63.13468801
8/31/2020,521.159973,531.98999,517.580017,529.559998,529.559998,4941400,5.669983,5.669983,0,7.359285571,2.885713786,2.550247917,71.83295298
9/1/2020,532.599976,557.390015,532.450012,556.549988,556.549988,9572700,26.98999,26.98999,0,8.677141429,2.885713786,3.006930719,75.04324207
9/2/2020,553.780029,556.5,537.369995,552.840027,552.840027,5886900,-3.709961,0,3.709961,8.258571,3.150711,2.621176934,72.3846689
9/3/2020,545,554,521.320007,525.75,525.75,9071100,-27.090027,0,27.090027,8.162142,5.085712929,1.60491599,61.61104604
9/4/2020,520.179993,527.359985,485.980011,516.049988,516.049988,8270100,-9.700012,0,9.700012,8.162142,5.755000429,1.418269573,58.64811718
9/8/2020,498.399994,522,495,507.019989,507.019989,5572700,-9.029999,0,9.029999,7.482142786,6.400000357,1.169084745,53.89760579
9/9/2020,519.210022,520,492.570007,500.190002,500.190002,6848100,-6.829987,0,6.829987,7.482142786,6.363571143,1.175777345,54.03941483
9/10/2020,503.350006,506.290009,478.839996,480.670013,480.670013,6240200,-19.519989,0,19.519989,6.527143143,7.757856071,0.841359144,45.69228913
9/11/2020,486.48999,493.730011,476.809998,482.029999,482.029999,5035200,1.359986,1.359986,0,6.624285,7.358570643,0.90021355,47.37433589
9/14/2020,480.619995,488.98999,471.299988,476.26001,476.26001,7359100,-5.769989,0,5.769989,6.624285,7.520712714,0.880805484,46.83129071
9/15/2020,484,497.470001,481.630005,495.98999,495.98999,5337000,19.72998,19.72998,0,7.9071415,7.520712714,1.051381937,51.25237373
9/16/2020,499.98999,504.660004,483.309998,483.859985,483.859985,4394900,-12.130005,0,12.130005,3.839281357,8.387141643,0.457758021,31.40150931
9/17/2020,475.160004,478.399994,463.269989,470.200012,470.200012,5379300,-13.659973,0,13.659973,3.839281357,7.844281929,0.489436942,32.86053461
9/18/2020,472.51001,479.399994,458.600006,469.959991,469.959991,6717700,-0.240021,0,0.240021,3.839281357,7.691425929,0.499163795,33.29614794
9/21/2020,467.690002,487.779999,466.320007,487.350006,487.350006,5457500,17.390015,17.390015,0,4.6764265,7.691425929,0.60800514,37.81114407
9/22/2020,489.01001,491.820007,479.26001,491.170013,491.170013,3482300,3.820007,3.820007,0,3.021427714,7.691425929,0.392830633,28.20376171
9/23/2020,491.040009,491.040009,469,470.609985,470.609985,3726400,-20.560028,0,20.560028,3.021427714,8.895002143,0.339677008,25.35514202
9/24/2020,470.529999,477,467.820007,473.079987,473.079987,3727200,2.470002,2.470002,0,3.197856429,6.960000214,0.459462116,31.48160622
9/25/2020,474.390015,484.869995,468.029999,482.880005,482.880005,3769400,9.800018,9.800018,0,3.897857714,6.267142214,0.621951374,38.34587055
9/28/2020,489.109985,492,477.880005,490.649994,490.649994,4773500,7.769989,7.769989,0,4.452856929,5.622142286,0.792021387,44.19709455
9/29/2020,489.5,496.290009,486.529999,493.480011,493.480011,3541500,2.830017,2.830017,0,4.655001,5.134286071,0.906650104,47.55199195
9/30/2020,492.570007,504.630005,489.269989,500.029999,500.029999,4634100,6.549988,6.549988,0,5.122857286,3.740001143,1.369747519,57.80141167
10/1/2020,506.029999,529.549988,503.600006,527.51001,527.51001,8153700,27.480011,27.480011,0,6.988573357,3.740001143,1.868601931,65.13981291
10/2/2020,516.429993,526.369995,502.700012,503.059998,503.059998,6071200,-24.450012,0,24.450012,6.988573357,5.0742885,1.377251876,57.93462148
10/5/2020,506.799988,520.98999,501.700012,520.650024,520.650024,4088100,17.590026,17.590026,0,6.8357195,5.0742885,1.347128666,57.39475154
